scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,market_sentiment,crypto_influence,stock_downfall_rate,stock_increase_rate,factors_affecting,investor_count,expected_profit
Franklin India Debt Hybrid Fund,500,10000,0.57,246,10,Rajasa Kakulavarapu,2.98,1.26,3.89,0.59,1.42,4,Franklin Templeton Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,5.1,9.8,7,Positive,Medium,5.71,2.93,Market Trends,87669,9.14
Franklin India Dynamic Asset Allocation FoFs-Dir-G,500,5000,0.46,1103,10,Rajasa Kakulavarapu,1.87,8.57,10.19,0.3,1.39,4,Franklin Templeton Mutual Fund,3,Other,FoFs Domestic,5.9,18.2,9.2,Neutral,High,0.18,2.8,Inflation,45435,16.53
Franklin India Equity Advantage Fund,500,5000,1.37,2556,10,R Janakiraman,3.41,2.99,17.49,0.96,1.43,6,Franklin Templeton Mutual Fund,2,Equity,Large & Mid Cap Funds,-0.9,27.7,9.2,Neutral,Medium,4.82,1.41,Inflation,5529,8.39
Franklin India Equity Hybrid Fund,500,5000,1.2,1347,10,Rajasa Kakulavarapu,3.24,3.49,12.1,0.8,1.51,6,Franklin Templeton Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,5.3,22.5,11,Negative,Low,2.1,5.35,Interest Rates,84055,15.39
Franklin India Equity Savings Fund,500,5000,0.71,153,5,Rajasa Kakulavarapu,3.01,3.39,6.61,0.94,1.53,3,Franklin Templeton Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,4.8,14,,Neutral,Low,3.46,11.36,Interest Rates,13192,8.5
Franklin India Feeder – Franklin U.S. Opp.-Dir Growth,500,5000,0.72,2880,10,Sandeep Manam,0.95,-,23.08,-,0.5,6,Franklin Templeton Mutual Fund,0,Other,FoFs Overseas,-12.1,17.4,11.6,Negative,Medium,7.76,4.15,Global Events,75102,14.38
Franklin India Flexi Cap Fund,500,5000,1.1,9989,10,Anand Radhakrishnan,3.27,4.83,16.63,0.93,1.6,6,Franklin Templeton Mutual Fund,4,Equity,Flexi Cap Funds,3.8,31.1,12,Positive,Low,9.41,4.69,Market Trends,73762,16.21
Franklin India Floating Rate Fund,500,1000,0.21,311,10,Pallab Roy,2.6,2.33,0.84,0.75,1.58,2,Franklin Templeton Mutual Fund,4,Debt,Floater Mutual Funds,5.8,5.6,6.2,Positive,High,0.72,9.64,Interest Rates,87795,8.28
Franklin India Focused Equity Fund,500,5000,1.16,8022,10,Ajay Argal,3.17,3.6,18.62,0.98,1.43,6,Franklin Templeton Mutual Fund,4,Equity,Focused Funds,5.1,30.9,12.9,Positive,High,5.34,2.94,Interest Rates,35087,5.9
Franklin India G-Sec Fund,500,10000,0.57,121,10,Sachin Padwal Desai,0.04,-0.49,2.35,0.52,0.04,3,Franklin Templeton Mutual Fund,2,Debt,Gilt Mutual Funds,3.5,4.1,6.3,Positive,Medium,8.83,13.45,Market Trends,67677,6.96
Franklin India Liquid Fund,500,10000,0.13,1511,10,Pallab Roy,4.44,1.34,0.38,0.74,0.9,2,Franklin Templeton Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,4.3,5.4,Negative,Medium,0.83,7.8,Global Events,5627,14.09
Franklin India Multi-Asset Solution Fund,500,5000,0.44,45,8,Rajasa Kakulavarapu,0.34,5.14,12.82,-0.01,0.39,4,Franklin Templeton Mutual Fund,1,Other,FoFs Domestic,4.1,8.7,5.3,Positive,Medium,8.25,6.71,Interest Rates,57541,17.74
Franklin India NSE Nifty 50 Index Fund,500,5000,0.24,482,10,Varun Sharma,3.44,-0.79,16.58,0.99,1.3,6,Franklin Templeton Mutual Fund,3,Other,Index Funds,0.9,25.6,11.6,Neutral,Low,3.58,8.37,Global Events,69226,5.67
Franklin India Opportunities Fund,500,5000,1.79,657,10,R Janakiraman,3.45,4.7,16.65,0.92,1.58,6,Franklin Templeton Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,7.9,31,11.5,Neutral,High,3.22,2.49,Government Policies,4255,16.01
Franklin India Overnight Fund,500,5000,0.1,152,4,Pallab Roy,-0.89,0.49,0.35,0.41,-0.18,1,Franklin Templeton Mutual Fund,2,Debt,Overnight Mutual Funds,5.3,3.8,,Neutral,High,9.77,9.2,Global Events,58433,10.12
Franklin India Prima Fund,500,5000,1.06,7359,10,R Janakiraman,3.06,-4.41,17.67,0.96,1.36,6,Franklin Templeton Mutual Fund,2,Equity,Mid Cap Mutual Funds,4.5,26.6,10,Negative,Low,2.01,5.45,Inflation,6213,12.18
Franklin India Savings Fund,500,10000,0.1,1084,10,Umesh Sharma,3.34,2.67,0.63,1.29,1.5,2,Franklin Templeton Mutual Fund,3,Debt,Money Market Funds,5.3,5.2,6.1,Positive,High,6.93,13.46,Inflation,20404,18.93
Franklin India Smaller Companies Fund,500,5000,1.03,7308,10,R Janakiraman,3.36,7.03,17.83,0.81,1.91,6,Franklin Templeton Mutual Fund,2,Equity,Small Cap Mutual Funds,10.5,38.8,11.2,Positive,Medium,8.21,2.53,Global Events,26380,9.98
Franklin India Taxshield – Direct Growth,500,500,1.12,4584,10,R Janakiraman,3.21,2.88,16.91,0.95,1.49,6,Franklin Templeton Mutual Fund,3,Equity,ELSS Mutual Funds,4.9,29.3,11.4,Positive,Medium,0.41,7.61,Inflation,92056,11.98
Franklin India Technology Fund,500,5000,1.22,712,10,Anand Radhakrishnan,1.91,3.66,19.22,0.73,1.24,6,Franklin Templeton Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-11.9,29.9,15.9,Negative,Medium,6.7,8.97,Government Policies,20173,5.21
HDFC Arbitrage Fund,100,100,0.43,5886,9,Arun Agarwal,0.99,1.24,0.7,0.5,0.82,1,HDFC Mutual Fund,2,Hybrid,Arbitrage Mutual Funds,5.6,4.5,5.2,Neutral,High,9.52,0.5,Market Trends,54027,6.22
HDFC Balanced Advantage Fund,100,100,0.88,51042,10,Gopal Agrawal,3.38,7.38,14.82,0.88,1.6,6,HDFC Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,14.4,29.3,12.9,Neutral,Medium,1.24,5.46,Inflation,24989,8.88
HDFC Banking and PSU Debt Fund,100,100,0.39,4805,9,Anil Bamboli,1.74,3.4,2.02,1.06,0.98,2,HDFC Mutual Fund,4,Debt,Banking and PSU Mutual Funds,4.3,6.8,7.2,Positive,Low,8.96,10.99,Inflation,25519,5.42
HDFC Capital Builder Value Fund,100,100,1.04,5227,10,Gopal Agrawal,3.26,3.69,16.41,0.95,1.53,6,HDFC Mutual Fund,2,Equity,Value Funds,-0.7,33.7,11.3,Neutral,Low,5.95,12.31,Global Events,23439,14.47
HDFC Children’s Gift Fund,100,100,0.96,6157,10,Chirag Setalvad,4.11,7.62,11.58,0.76,1.87,6,HDFC Mutual Fund,0,Solution Oriented,Childrens Funds,10.5,26.8,12.9,Neutral,High,6.17,4.7,Government Policies,77949,11.4
HDFC Corporate Bond Fund,100,100,0.32,23486,10,Anupam Joshi,1.59,1.91,2.19,0.94,0.99,3,HDFC Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4.1,6.9,7.3,Negative,Low,6.13,11.98,Market Trends,15995,13.22
HDFC Credit Risk Debt Fund,100,100,0.95,8437,9,Shobhit Mehrotra,1.5,2.63,2.56,-0.52,1.3,4,HDFC Mutual Fund,3,Debt,Credit Risk Funds,4.6,8,7.7,Negative,Low,2.99,14.52,Global Events,24559,7.62
HDFC Dynamic Debt Fund,100,100,0.49,527,10,Anil Bamboli,2.3,2.71,3.62,0.55,0.79,3,HDFC Mutual Fund,4,Debt,Dynamic Bond,4.6,7.3,6.1,Negative,High,9.35,12.85,Global Events,90049,9.44
HDFC Dynamic PE Ratio Fund,100,100,0.22,30,10,Srinivasan Ramamurthy,4.11,6.38,9.63,0.6,1.8,5,HDFC Mutual Fund,4,Other,FoFs Domestic,8.6,21.9,11.1,Negative,Medium,9.47,1.76,Government Policies,6021,14.96
HDFC Equity Savings Fund,100,100,1.1,2524,10,Anil Bamboli,3.67,4.42,7.09,0.98,1.61,4,HDFC Mutual Fund,4,Hybrid,Equity Savings Mutual Funds,5.1,16,8.8,Positive,Medium,6.25,11.1,Market Trends,99000,19.48
HDFC Flexi Cap Fund,100,100,1,31672,10,Roshi Jain,3.4,5.15,18.4,1,1.56,6,HDFC Mutual Fund,4,Equity,Flexi Cap Funds,12.4,34.5,14,Negative,Medium,7.83,4.8,Government Policies,22119,5.76
HDFC Floating Rate Debt Fund,100,100,0.26,14785,10,Shobhit Mehrotra,3.33,3.39,1.24,0.9,1.76,3,HDFC Mutual Fund,4,Debt,Floater Mutual Funds,5.6,6.5,6.9,Neutral,High,6.12,14.83,Market Trends,52539,18.36
HDFC Focused 30 Fund,100,100,0.54,3609,10,Roshi Jain,3.93,7.78,17.19,0.92,1.71,6,HDFC Mutual Fund,3,Equity,Focused Funds,16,35.8,11.9,Positive,Low,4.84,7.28,Government Policies,95835,13.65
HDFC Gilt Fund,100,100,0.46,1739,10,Anil Bamboli,0.43,0.23,2.78,0.64,0.34,3,HDFC Mutual Fund,2,Debt,Gilt Mutual Funds,3.6,4.9,6.4,Neutral,Medium,6.61,1.84,Global Events,40350,13.46
HDFC Gold Fund,100,100,0.18,1402,10,Nirman Morakhia,1.03,-0.5,14.19,1.01,0.47,5,HDFC Mutual Fund,5,Other,FoFs Domestic,14.2,12.3,13.4,Neutral,Medium,5.53,10.88,Global Events,47223,12.5
HDFC Housing Opportunities Fund,100,100,1.28,1081,5,Rakesh Vyas,2.5,0.23,19.34,1,1.23,6,HDFC Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,9.8,27.1,7.9,Neutral,High,5.97,4.85,Interest Rates,26517,6.04
HDFC Hybrid Debt Fund,100,100,1.33,2695,10,Shobhit Mehrotra,3.46,3.73,4.97,0.69,1.74,4,HDFC Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,6,13.3,8.4,Negative,Medium,7.84,14.96,Inflation,79653,6.35
HDFC Hybrid Equity Fund,100,100,1.09,18729,10,Chirag Setalvad,3.42,4.86,13.03,0.87,1.6,6,HDFC Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,7.7,25.6,11.3,Negative,High,4.81,14.7,Government Policies,23250,14.01
HDFC Income Fund,100,100,0.51,528,10,Shobhit Mehrotra,0.43,0.51,2.53,1.28,0.34,3,HDFC Mutual Fund,3,Debt,Medium to Long Duration Funds,3.8,5.2,6.1,Positive,Low,0.41,9.84,Interest Rates,85486,10.11
HDFC Index Fund,100,100,0.2,4210,10,Nirman Morakhia,3.48,-0.64,16.76,1,1.31,6,HDFC Mutual Fund,4,Other,Index Funds,2.4,25.8,12.8,Positive,High,1.64,1.95,Inflation,83895,18.76
HDFC Index Fund,100,100,0.2,7457,10,Nirman Morakhia,3.24,-1.01,17.02,1.01,1.28,6,HDFC Mutual Fund,3,Other,Index Funds,0.9,26,12,Negative,High,4.39,10.3,Government Policies,90132,11.1
HDFC Infrastructure Fund,100,100,1.75,593,10,Rakesh Vyas,3.12,2.65,23.69,0.88,1.3,6,HDFC Mutual Fund,1,Equity,Sectoral / Thematic Mutual Funds,16.5,34.3,5.3,Neutral,High,7.25,1.4,Market Trends,92066,7.15
HDFC Large and Mid Cap Fund,100,100,1.03,7897,10,Gopal Agrawal,3.56,4.97,17.78,0.98,1.55,6,HDFC Mutual Fund,3,Equity,Large & Mid Cap Funds,6.3,33.3,12.8,Positive,High,5.93,0.44,Inflation,67798,15.72
HDFC Liquid Fund,300,5000,0.2,49008,10,Anupam Joshi,3.68,1.34,0.38,0.78,0.79,2,HDFC Mutual Fund,2,Debt,Liquid Mutual Funds,5.6,4.3,5.3,Negative,Low,6.5,12.34,Global Events,55199,9.4
HDFC Low Duration Fund,100,100,0.43,14779,10,Anupam Joshi,3.31,2.82,1.11,0.67,1.73,2,HDFC Mutual Fund,4,Debt,Low Duration Funds,5.4,6.2,6.7,Negative,Low,4.79,3.15,Interest Rates,60546,12.88
HDFC Medium Term Debt Fund,100,100,0.58,3538,10,Shobhit Mehrotra,1.34,2.14,2.33,0.78,1.01,4,HDFC Mutual Fund,3,Debt,Medium Duration Funds,4.1,6.9,7.4,Negative,Medium,6.16,5.69,Inflation,89151,15.47
HDFC Mid-Cap Opportunities Fund,100,100,0.95,35009,10,Chirag Setalvad,3.64,2.45,16.86,0.93,1.77,6,HDFC Mutual Fund,3,Equity,Mid Cap Mutual Funds,11.9,34.2,13.1,Neutral,Low,3.29,14.6,Inflation,4327,18.5
HDFC Money Market Fund,100,100,0.21,15176,10,Vikas Agrawal,4.85,3.08,0.69,1.33,1.89,3,HDFC Mutual Fund,3,Debt,Money Market Funds,5.6,5.6,6.3,Negative,Low,4.7,5.05,Global Events,30768,16.88
HDFC Multi-Asset Fund,100,100,0.88,1643,10,Srinivasan Ramamurthy,4.21,5.06,11.41,0.72,1.6,6,HDFC Mutual Fund,4,Hybrid,Multi Asset Allocation Mutual Funds,6.9,23,10.9,Negative,Medium,7.44,4.45,Government Policies,65418,15.15
HDFC Overnight Fund,300,100,0.1,20146,10,Anil Bamboli,-0.53,0.53,0.35,0.42,-0.09,1,HDFC Mutual Fund,2,Debt,Overnight Mutual Funds,5.3,3.8,4.6,Negative,Low,8.72,13.77,Market Trends,95386,15.19
HDFC Retirement Savings Fund,100,100,0.78,2696,7,Srinivasan Ramamurthy,4.32,9.26,15.16,0.85,1.92,6,HDFC Mutual Fund,5,Solution Oriented,Retirement Funds,11.6,34.9,14.8,Negative,High,4.34,1.66,Global Events,43788,19.19
HDFC Retirement Savings Fund,100,100,1.03,932,7,Srinivasan Ramamurthy,3.27,3.03,3.23,0.43,1.88,6,HDFC Mutual Fund,4,Solution Oriented,Retirement Funds,8,24.5,12.3,Positive,High,0.44,11.39,Market Trends,83384,9.44
HDFC Retirement Savings Fund,100,100,1,140,7,Shobhit Mehrotra,4.39,6.37,11.43,0.73,1.74,4,HDFC Mutual Fund,4,Solution Oriented,Retirement Funds,6,10.3,7.8,Positive,Medium,1.62,14.82,Government Policies,47830,5.02
HDFC Short Term Debt Fund,100,100,0.29,11028,10,Anil Bamboli,2.33,4.24,1.87,1.45,1.23,3,HDFC Mutual Fund,3,Debt,Short Duration Funds,4.7,7,7.3,Negative,Medium,0.21,13.52,Inflation,53446,9.08
HDFC Small Cap Fund,100,100,0.8,14648,10,Chirag Setalvad,3.75,6.54,19.61,0.91,1.88,6,HDFC Mutual Fund,3,Equity,Small Cap Mutual Funds,12.5,43.5,13.5,Neutral,Medium,6.53,9.78,Market Trends,16160,8.27
HDFC Tax Saver Fund,500,500,1.15,9723,10,Roshi Jain,3.71,4.47,15.3,0.88,1.64,6,HDFC Mutual Fund,2,Equity,ELSS Mutual Funds,10,31,10.3,Positive,High,3.32,4.71,Interest Rates,57583,14.93
HDFC Top 100 Fund,100,100,1.11,22139,10,Rahul Baijal,3.3,1.75,17.08,0.97,1.39,6,HDFC Mutual Fund,2,Equity,Large Cap Mutual Funds,6.6,28.6,11.9,Negative,Low,5.42,3.81,Interest Rates,34998,14.51
HDFC Ultra Short Term Fund,100,100,0.34,13303,5,Anil Bamboli,4.46,2.7,0.64,1.1,1.93,3,HDFC Mutual Fund,4,Debt,Ultra Short Duration Funds,5.4,5.5,,Positive,High,4.93,12.29,Global Events,28230,13.9
HSBC Aggressive Hybrid Fund,500,5000,0.87,4636,10,Shriram Ramanathan,2.41,0.57,12.27,0.81,1.26,6,HSBC Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,-1.2,19.5,8.1,Positive,Medium,0.82,13.2,Government Policies,10076,5.24
HSBC Arbitrage Fund,500,5000,0.29,2344,9,Ritesh Jain,1.54,1.63,0.7,0.63,1.12,1,HSBC Mutual Fund,4,Hybrid,Arbitrage Mutual Funds,5.4,4.7,5.5,Neutral,Low,4.03,7.88,Global Events,70341,15.93
HSBC Asia Pacific (Ex Japan) DYF – Direct Growth,500,5000,1.29,8.4,9,Sonal Gupta,0.87,-,17.08,-,0.48,6,HSBC Mutual Fund,0,Other,FoFs Overseas,-4.2,13.6,5.7,Negative,Low,2.21,3.67,Global Events,32085,9.85
HSBC Balanced Advantage Fund,500,5000,0.78,1511,10,Ritesh Jain,2.95,0.89,7.21,0.45,1.27,4,HSBC Mutual Fund,3,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3.5,13.4,8,Negative,High,4.18,1.69,Global Events,56571,14.98
HSBC Banking and PSU Debt Fund,500,5000,0.23,3779,10,Jalpan Shah,0.64,5.62,2.39,3.36,0.47,3,HSBC Mutual Fund,1,Debt,Banking and PSU Mutual Funds,2.2,6,6.5,Neutral,Medium,2.04,1.31,Interest Rates,15715,13.35
HSBC Business Cycles Fund,500,5000,1.42,535,9,Venugopal Manghat,3.13,2.69,17.41,0.97,1.46,6,HSBC Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,7,28,8.7,Neutral,High,8.4,10.79,Interest Rates,6750,10.14
HSBC Conservative Hybrid Fund,500,5000,1.34,122,10,Ritesh Jain,2.3,0.76,4.75,0.74,1.28,4,HSBC Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,2.3,10.3,7.5,Negative,Low,1.74,6.3,Global Events,79768,7.02
HSBC Corporate Bond Fund,500,5000,0.35,157,2,Ritesh Jain,0.44,0.67,2.47,1.09,0.39,2,HSBC Mutual Fund,2,Debt,Corporate Bond Mutual Funds,1.7,32.4,13.3,Negative,High,9.61,13.58,Interest Rates,36903,6.42
HSBC Corporate Bond Fund,500,5000,0.29,6772,10,Shriram Ramanathan,0.67,1.19,3.55,1.68,0.47,3,HSBC Mutual Fund,1,Debt,Corporate Bond Mutual Funds,3.3,6.6,7.6,Neutral,High,4.16,11.1,Government Policies,73489,17.47
HSBC Credit Risk Fund,500,5000,0.85,130,10,Shriram Ramanathan,0.33,-1.87,3.73,-2.39,0.35,4,HSBC Mutual Fund,3,Debt,Credit Risk Funds,4.8,5.7,5.1,Positive,Medium,8.46,2.87,Global Events,33093,18.78
HSBC Dynamic Bond Fund,500,5000,0.29,200,10,Shriram Ramanathan,0.44,0.67,2.47,1.09,0.39,3,HSBC Mutual Fund,3,Debt,Dynamic Bond,4.7,5.4,6.8,Positive,Medium,6.29,9.21,Interest Rates,92036,14.75
HSBC ELSS Fund,500,500,1.16,3007,10,Cheenu Gupta,2.8,-0.03,16.03,0.91,1.33,6,HSBC Mutual Fund,1,Equity,ELSS Mutual Funds,-1.2,24.1,8,Neutral,Low,7.35,6.53,Market Trends,88954,6.55
HSBC Equity Hybrid Fund,500,5000,1,474,4,Neelotpal Sahai,2.41,0.57,12.27,0.81,1.26,6,HSBC Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,1.7,32.4,13.3,Positive,High,7.68,8.66,Global Events,35314,11.03
HSBC Equity Savings Fund,500,5000,0.62,150,10,Ritesh Jain,4.47,5.57,6.24,0.85,1.86,3,HSBC Mutual Fund,2,Hybrid,Equity Savings Mutual Funds,2.9,15.5,7.5,Neutral,High,5.05,11.07,Global Events,49225,15.93
HSBC Flexi Cap Fund,500,5000,1.23,3097,10,Vihang Naik,2.92,0.36,16.25,0.94,1.38,6,HSBC Mutual Fund,2,Equity,Flexi Cap Funds,-1.2,26.4,9.2,Positive,High,5.43,12.09,Government Policies,88985,16.7
HSBC Flexi Debt Fund,500,5000,0.94,54,10,Ritesh Jain,0.44,0.67,2.47,1.09,0.39,3,HSBC Mutual Fund,2,Debt,Dynamic Bond,1.7,32.4,13.3,Positive,Low,5.14,12.66,Inflation,84014,6.77
HSBC Gilt Fund,500,5000,0.48,231,10,Jalpan Shah,0.49,0.51,2.94,0.64,0.41,3,HSBC Mutual Fund,3,Debt,Gilt Mutual Funds,5,5.4,7.1,Negative,Low,5.88,3.81,Inflation,36179,5
HSBC Infrastructure Fund,500,5000,1.14,1476,10,Venugopal Manghat,3.69,10.03,16.32,0.6,1.78,6,HSBC Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,11.3,33.6,9.3,Negative,Medium,0.29,0.47,Government Policies,26338,15.68
HSBC Large & Mid Cap Fund,500,5000,1.08,1992,4,Neelotpal Sahai,3.02,1.39,15.85,0.91,1.4,6,HSBC Mutual Fund,2,Equity,Large & Mid Cap Funds,-0.6,25.6,,Positive,Medium,3.96,11.09,Government Policies,93435,10.35
HSBC Large Cap Fund,500,5000,1.26,1405,10,Neelotpal Sahai,2.6,-2.34,16.62,0.97,1.18,6,HSBC Mutual Fund,2,Equity,Large Cap Mutual Funds,0,23.3,10.6,Positive,Medium,6.06,1.6,Government Policies,70681,8.82
HSBC Liquid Fund,500,5000,0.12,12043,10,Kapil Punjabi,4.42,1.38,0.38,0.77,0.91,2,HSBC Mutual Fund,3,Debt,Liquid Mutual Funds,5.7,4.3,5.3,Negative,High,5.98,4.72,Inflation,33101,5.19
HSBC Low Duration Fund,500,5000,0.25,467,10,Shriram Ramanathan,0.63,0.3,2.32,-0.78,0.58,2,HSBC Mutual Fund,3,Debt,Low Duration Funds,5.2,5.6,5.8,Negative,High,7.93,0.06,Government Policies,3775,13.1
HSBC Managed Solutions Conservative Fund,500,5000,0.54,34,9,Gautam Bhupal,0.86,-1.07,4.45,0.49,0.55,3,HSBC Mutual Fund,2,Other,FoFs Domestic,3.2,6.7,5.9,Negative,Medium,6.55,10.23,Interest Rates,98183,17.77
HSBC Managed Solutions Growth Fund,500,5000,1.06,34,9,Gautam Bhupal,3.05,1.87,13.16,0.9,1.4,6,HSBC Mutual Fund,2,Other,FoFs Domestic,0.6,22.2,9.2,Neutral,High,9.92,2.51,Global Events,46619,19.36
HSBC Managed Solutions Moderate Fund,500,5000,0.76,58,9,Gautam Bhupal,2.81,0.67,10.91,0.74,1.31,5,HSBC Mutual Fund,2,Other,FoFs Domestic,1.2,19,8.7,Positive,Medium,2.84,9.83,Global Events,46838,13.49
HSBC Medium Duration Fund,500,5000,0.4,643,8,Shriram Ramanathan,0.84,1.93,2.78,0.67,0.76,3,HSBC Mutual Fund,3,Debt,Medium Duration Funds,4.2,7,6.7,Negative,Low,3.59,14.88,Market Trends,20539,12.72
HSBC Medium to Long Duration Fund,500,5000,0.68,41,10,Jalpan Shah,0.11,-0.16,3.1,1.54,0.09,3,HSBC Mutual Fund,1,Debt,Medium to Long Duration Funds,2.7,4.5,6.5,Positive,Medium,3.84,1.09,Market Trends,58124,6.28
HSBC Midcap Fund,500,5000,0.74,6980,10,Vihang Naik,3.33,-1.16,14.76,0.8,1.53,6,HSBC Mutual Fund,2,Equity,Mid Cap Mutual Funds,2.3,26.1,8.8,Neutral,Low,4.66,1.16,Global Events,66149,13.23
HSBC Money Market Fund,500,5000,0.25,716,10,Shriram Ramanathan,2.45,2.43,0.61,1.31,1.12,2,HSBC Mutual Fund,1,Debt,Money Market Funds,5.2,4.9,6,Neutral,High,8.36,5.11,Interest Rates,27616,10.7
HSBC Overnight Fund,500,5000,0.1,2759,4,Kapil Punjabi,0.92,0.65,0.34,0.44,0.16,1,HSBC Mutual Fund,5,Debt,Overnight Mutual Funds,5.4,3.9,,Negative,Medium,2.36,13,Inflation,80655,14.11
HSBC Short Duration Fund,500,5000,0.27,3592,10,Shriram Ramanathan,1.18,4.85,1.72,2.63,0.78,2,HSBC Mutual Fund,2,Debt,Short Duration Funds,3.8,6,6.7,Neutral,High,7.76,3.23,Inflation,91695,10.83
HSBC Small Cap Fund,500,5000,0.77,8625,9,Venugopal Manghat,4.16,9.87,17.95,0.82,2.08,6,HSBC Mutual Fund,3,Equity,Small Cap Mutual Funds,5.1,44.7,12.7,Positive,Low,4.05,5.41,Interest Rates,55567,8.6
HSBC Tax Saver Equity Fund,500,5000,1.3,175,10,Gautam Bhupal,3.05,-1.65,16.52,0.96,1.26,6,HSBC Mutual Fund,2,Equity,ELSS Mutual Funds,-2.2,24.7,8.9,Negative,Low,6.02,1.03,Inflation,38099,6.42
HSBC Ultra Short Duration Fund,500,5000,0.22,2279,3,Mahesh A Chhabria,3.5,2.48,0.54,1.17,1.69,2,HSBC Mutual Fund,3,Debt,Ultra Short Duration Funds,5.5,5.1,,Positive,Low,6.33,11.45,Government Policies,76831,9.72
HSBC Value Fund,500,5000,0.84,7781,10,Venugopal Manghat,3.18,6.92,17.01,0.96,1.69,6,HSBC Mutual Fund,3,Equity,Value Funds,6.8,33,11.6,Positive,High,3.73,6.12,Global Events,62799,6.45
ICICI Pru All Seasons Bond Fund,100,5000,0.62,6754,10,Manish Banthia,2.39,2.84,2.25,0.98,1.38,3,ICICI Prudential Mutual Fund,5,Debt,Dynamic Bond,6.5,7.5,8.2,Neutral,High,5.13,11.39,Global Events,91221,7.65
ICICI Pru Asset Allocator Fund,1000,5000,0.18,18393,10,Dharmesh Kakkad,5.89,7.45,8.68,0.53,1.99,4,ICICI Prudential Mutual Fund,4,Other,FoFs Domestic,8.8,21.6,12.8,Neutral,High,4.13,13.55,Interest Rates,26479,19.81
ICICI Pru Balanced Advantage Fund,100,500,0.91,44515,10,Sankaran Naren,5.59,5.34,8.33,0.54,1.84,5,ICICI Prudential Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,6.7,19.7,10.4,Neutral,High,0.69,3.49,Inflation,47172,11.66
ICICI Pru Banking & Financial Services – DirectGrowth,100,5000,1.1,5871,10,Roshan Chutkey,2.23,3.74,23.41,0.87,1.06,6,ICICI Prudential Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,7,24.9,9.7,Neutral,Low,4.37,12.11,Market Trends,56863,12.98
ICICI Pru Banking & PSU Debt Fund,100,500,0.38,7265,10,Rahul Goswami,2.64,4.03,1.75,1.21,1.37,2,ICICI Prudential Mutual Fund,5,Debt,Banking and PSU Mutual Funds,5.8,6.9,7.2,Neutral,Low,0.97,0.89,Market Trends,43043,18.1
ICICI Pru BHARAT 22 FOF  – Direct Growth,1000,5000,0.08,89,5,Kayzad Eghlim,2.76,9.68,20.2,0.88,1.47,6,ICICI Prudential Mutual Fund,5,Other,FoFs Domestic,22.1,35,,Negative,Medium,4.05,13.48,Inflation,83569,19.93
ICICI Pru Bharat Consumption Fund,100,5000,1.54,1866,4,Sankaran Naren,3.37,4.95,11.73,0.6,1.6,6,ICICI Prudential Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,10.2,22.7,,Positive,Medium,5.93,9.76,Market Trends,16408,13.74
ICICI Pru Bluechip Fund,100,100,1.06,34198,10,Anish Tawakley,3.59,3.05,15.23,0.9,1.53,6,ICICI Prudential Mutual Fund,4,Equity,Large Cap Mutual Funds,4.4,28.2,12.3,Positive,High,5.79,13.11,Interest Rates,58980,17.19
ICICI Pru Bond Fund,100,5000,0.6,2223,10,Manish Banthia,1.2,1.58,2.69,1.26,0.72,3,ICICI Prudential Mutual Fund,3,Debt,Medium to Long Duration Funds,5.2,6.9,7.3,Positive,Low,6.63,0,Interest Rates,83956,9.9
ICICI Pru Child Care Fund,100,5000,1.69,844,10,Manish Banthia,2.86,2.18,11.15,0.74,1.42,6,ICICI Prudential Mutual Fund,3,Solution Oriented,Childrens Funds,1,19.8,8.8,Positive,Low,0.95,2.54,Inflation,17351,9.59
ICICI Pru Corporate Bond Fund,100,100,0.3,16998,10,Rahul Goswami,3.07,2.35,1.67,0.68,1.52,2,ICICI Prudential Mutual Fund,5,Debt,Corporate Bond Mutual Funds,5.8,7,7.3,Neutral,Low,6.52,5.85,Market Trends,5131,11.04
